ID,name_en,name_cz,src_en,src_cz,desc_cz,desc_en,common,hard,hard_tol,spgrav,spgrav_tol,color,group_id,formula,test
1,Agate,Achát,,https://cs.wikipedia.org/wiki/Ach%C3%A1t,,,1,6.5,0.5,,0,"Červená, oranžová, hnědá až černá, modrá, šedomodrá, bílá, výjimečně i nazelenalá",4,SiO2,
2,Adamin,Adamin,,https://cs.wikipedia.org/wiki/Adamin,,,1,3.25,0.25,,0,"Žlutozelená, žlutá, zelená, fialová, bezbarvý",7,Zn2(AsO4)(OH),
3,Adulár,Adulár,,https://cs.wikipedia.org/wiki/Adul%C3%A1r,,,1,,0,,0,,8,"(K,Na)AlSi3O8",
4,Agardite,Agardit,,https://cs.wikipedia.org/wiki/Agardit-(Ce),,,1,3,0,,0,"modrozelená, sytě světlezelená",7,CeCu6(AsO4)3(OH)6.3H2O,
5,Acanthite,Akantit,,https://cs.wikipedia.org/wiki/Akantit,,,1,2.25,0.25,,0,olověná šedá až černá,2,Ag2S,
6,Actinolite,Aktinolit,,https://cs.wikipedia.org/wiki/Aktinolit,,,1,5.5,0.5,,0,odstíny zelené,8,"Ca2(Mg,Fe2+)5{(OH)(Si4O11)}2",
7,Aquamarine,Akvamarín,,https://cs.wikipedia.org/wiki/Akvamar%C3%ADn,,,1,7.75,0.25,,0,modrá,8,Be3Al2Si6O18,
8,Alabandite,Alabandin,https://en.wikipedia.org/wiki/Alabandite,,,,0,3.75,0.25,,0,,2,,
9,Gypsum,Alabastr,https://en.wikipedia.org/wiki/Gypsum,https://cs.wikipedia.org/wiki/S%C3%A1drovec,,,1,1.75,0.25,,0,"bezbarvý, podle příměsí",6,CaSO4•2H2O,Sádrovec
10,Albite,Albit,,https://cs.wikipedia.org/wiki/Albit,,,1,6.25,0.25,,0,"bílá, šedá, namodralá...",8,NaAlSi3O8,
11,Allanite,Allanit,https://en.wikipedia.org/wiki/Allanite,,,,0,5.75,0.25,,0,,8," Ca(Ce,La,Y,Ca)Al2(Fe2+,Fe3+)O(SiO4)(Si2O7)(OH)",
12,Allemontite,Allemontit,,https://cs.wikipedia.org/wiki/Stibarsen,,,1,3.5,0.5,,0,"Bílá, šedá, šedavě bílá, načervenalá bílá",2,AsSb,
13,Almandine,Almandin,,https://cs.wikipedia.org/wiki/Almandin,,,1,7.25,0.25,,0,"sytě červená s odstínem do fialova, červenohnědá až hnědočerná",8,Fe2+3Al2(SiO4)3,
14,Alstonite,Alstonit,https://en.wikipedia.org/wiki/Alstonite,,,,0,,0,,0,,5,,
15,Aluminite,Aluminit,,https://cs.wikipedia.org/wiki/Aluminit,,,1,,0,,0,bílá až šedobílá,6,Al2SO4(OH)4·7H2O,
16,Alumocalcite,Alumokalcit,,,,,0,,0,,0,,4,,
17,Alunite,Alunit,,https://cs.wikipedia.org/wiki/Alunit,,,1,3.75,0.25,,0,"bílá, šedá, nažloutlá,načervenalá",6,KAl3[(OH)6|(SO4)2],
18,Alunogen,Alunogen,,,,,0,,0,,0,,6,,
19,Amaranthite,Amarantit,,,,,0,,0,,0,,6,,
20,Amazonite,Amazonit,,,,,0,,0,,0,,8,,
21,Amblygonite,Amblygonit,,https://cs.wikipedia.org/wiki/Amblygonit,,,1,,0,,0,,7,,
22,Amethyst,Ametyst,,https://cs.wikipedia.org/wiki/Ametyst,,,1,7,0,,0,fialová,4,SiO2,
23,Amphibole,Amfibol,,https://cs.wikipedia.org/wiki/Amfibol,,,1,5.5,0.5,,0,"tmavozelený až černozelený, černohnědý až černý",8,"Ca2 (Mg,Fe)4Al(Si7Al)O22(OH,F)2",
24,Asbestos,Amiant,,,,,0,,0,,0,,8,,
25,Amosite,Amozit,,,,,0,,0,,0,,8,,
26,Analcim,Analcim,,,,,0,,0,,0,,8,,
27,Anatas,Anatas,,https://cs.wikipedia.org/wiki/Anatas,,,1,5.75,0.25,,0,"stříbrná, šedočerná, (tmavo)modrá, žlutá...",4,TiO2,
28,Andalusite,Andalusit,,https://cs.wikipedia.org/wiki/Andalusit,,,1,6.75,0.25,,0,"růžová, fialovohnědá, šedá, červenohnědá, červenooranžová, červená, fialová, méně časté bílá, žlutá, zelená, modrá",8,Al2SiO5,
29,Andesine,Andezin,,,,,0,,0,,0,,8,,
30,Andorite,Andorit,,,,,0,,0,,0,,2,,
31,Andradit,Andradit,,https://cs.wikipedia.org/wiki/Andradit,,,1,6.75,0.25,,0,"bezbarvý, zelený, černý...",8,Ca3Fe23+(SiO4)3,
32,Anglesit,Anglesit,,,,,0,,0,,0,,6,,
33,Anhydrite,Anhydrit,,https://cs.wikipedia.org/wiki/Anhydrit,,https://www.minerals.net/mineral/anhydrite.aspx,1,3.25,0.25,,0,"bílá, namodralá, šedá...",6,CaSO4,
34,Ankerite,Ankerit,,,,,0,,0,,0,,5,,
35,Annabergite,Annabergit,,,,,0,,0,,0,,7,,
36,Anorthite,Anortit,,,,,0,,0,,0,,8,,
37,Anorthoclase,Anortoklas,,,,,0,,0,,0,,8,,
38,Antigorite,Antigorit,,,,,0,,0,,0,,8,,
39,Antimony,Antimon,,https://cs.wikipedia.org/wiki/Antimon,,,1,3,0,,0,,1,Sb,
