ID,AN,ZN,CZ,EN,LA,Typ,Conf,OxSt,Clark,BT,BT_tol,BV,BV_tol,DN,Hust,Stav,Vaha,Elneg,Skup,Perio,Izotop,Objev
1,1,H,Vodík,Hydrogenium,Hydrogenium,bio,1s1,"-1,0,1",,-259.13999999999993,,-252.87,,,0.071,(g),1.00794,2.2,1a,1,,1766
2,2,He,Helium,Helium,Helium,,1s2,0,,-272.2,,-268.934,,,,(g),4.002602,,2a,1,,1868
3,3,Li,Lithium,Lithium,Lithium,,[He] 2s1,"0,1",30,180.53999999999996,,1342,,,,(s),6.941,0.9699999999999999,1a,2,,1817
4,4,Be,Berylium,Beryllium,Beryllium,,[He] 2s2,"0,2",3,1278,5,2970,,,,(s),9.012182,1.5,2a,2,,1798
5,5,B,Bór,Borum,Beryllium,,[He] 2s2-2p1,"-3,0,3",11,2079,,2550,,,,(s),10.811,2,3a,2,,1808
6,6,C,Uhlík,Carboneum,Carboneum,bio,[He] 2s2-2p2,"-4,0,2,4","2,2.10E2",3652,,,,,,(s),12.0107,2.5,4a,2,,
7,7,N,Dusík,Nitrogenium,Nitrogenium,bio,[He] 2s2-2p3,"-3,0,1,2,3,4,5",19,-209.86,,-195.80000000000004,,,,(g),14.0067,3.1,5a,2,,1772
8,8,O,Kyslík,Oxygenium,Oxygenium,bio,[He] 2s2-2p4,"-2,(-1),0","4,7.10E5",-218.40000000000003,,-182.962,,,,(g),15.9994,3.5,6a,2,,1774
9,9,F,Fluór,Fluorum,Fluorum,,[He] 2s2-2p5,"-1,0",640,-219.62000000000003,,-188.14,,,,(g),18.9994,4.1,7a,2,,1886
10,10,Ne,Neon,Neon,Neon,---,2s2-2p6,0,,-248.67,,-246.048,,,,(g),20.1797,,8a,2,,1898
11,11,Na,Sodík,Natrium,Natrium,bio,[Ne] 3s1,"0,1","2,5.10E4",97.81,,882.9000000000001,,,,(s),22.98976928,1,1a,3,,1807
12,12,Mg,Hořčík,Magnesium,Magnesium,bio,[Ne] 3s2,"0,2","2,1.10E4",648.8,,1090,,,,(s),24.305,1.2,2a,3,,1775
13,13,Al,Hliník,Aluminium,Aluminium,,[Ne] 3s2-3p1,"0,(1),3","8,1.10E-4",660.37,,2467,,,,(s),26.9815386,1.5,3a,3,,1827
14,14,Si,Křemík,Silicium,Silicium,,[Ne] 3s2-3p2,"-4,0,2,4","2,9.10E5",1410,,2355,,,,(s),28.0855,1.7,4a,3,,1824
15,15,P,Fosfor,Phosphorus,Phosphorus,,[Ne] 3s2-3p3,"-3,0,1,3,4,5","1,1.10E3",44.1,,280,,,,(s),30.973762,2.1,5a,3,,1669
16,16,S,Síra,Sulphur,Sulphur,bio,[Ne] 3s2-3p4,"-2,0,2,4,6",4.10E2,112.79999999999998,,444.674,,,,(s),32.065,2.4,6a,3,,
17,17,Cl,Chlór,Chlorum,Chlorum,,[Ne] 3s2-3p5,"-1,0,1,3,4,5,6,7",150,-100.98,,-34.6,,,,(g),35.453,2.8,7a,3,,1774
18,18,Ar,Argon,Argon,Argon,---,3s2-3p6,0,"185,7",-189.19999999999996,,-186,,,"1,64",(s),39.948,,8a,3,,1894
19,19,K,Draslík,Kalium,Kalium,bio,[Ar] 4s1,"0,1",2.10E4,63.25,,759.9,,,,(s),39.09830000000001,0.91,1a,4,,1807
20,20,Ca,Vápník,Calcium,Calcium,bio,[Ar] 4s2,"0,2",3.10E4,839,2,1484,,,,(s),40.078,1,2a,4,,1808
21,21,Sc,Skandium,Scandium,Scandium,,[Ar] 3d1-4s2,"0,3",10,1539,,2832,,,,(s),44.955912,1.2,3b,4,,1879
22,22,Ti,Titan,Titanium,Titanium,,[Ar] 3d2-4s2,"0,2,3,4",5.10E3,1660,10,3287,,,,(s),47.867,1.3,4b,4,,1791
23,23,V,Vanad,Vanadium,Vanadium,,[Ar] 3d3-4s2,"0,2,3,4,5","1,0.10E2",1890,10,3380,,,,(s),50.9415,1.5,5b,4,,1801
24,24,Cr,Chrom,Chromium,Chromium,,[Ar] 3d5-4s1,"0,1,2,3,4,5,6",90,1857,20,2672,,,,(s),51.9961,1.6,6b,4,,1797
