ID,CAS,IUPAC,Conf,ValEl,Ozn,Info
1,1a,1,ns1,1,Alkalické kovy,
2,2a,2,ns2,2,Kovy alkalických zemin,
3,3a,13,ns2 np1,3,Triely,
4,4a,14,ns2 np2,4,Tetrely,
5,5a,15,ns2 np3,5,Pentely / Pniktogeny,
6,6a,16,ns2 np4,6,Chalkogeny,
7,7a,17,ns2 np5,7,Halogeny,
8,8a,18,ns2 np6,8,Vzácné plyny,"Velmi málo reaktivní, plynné látky, bez barvy a zápachu."
9,3b,3,,0,,
10,4b,4,,0,,
11,5b,5,,0,,
12,6b,6,,0,,
13,7b,7,,0,,
14,8b,8,,0,,
15,8b,9,,0,,
16,8b,10,,0,,
17,1b,11,,0,,
18,2b,12,,0,,
19,La,,,0,Lanthanoidy,
20,Ac,,,0,Aktinoidy,
