ID,name_lat,alts,name_cz,name_sk,Nazev_lidovy,Celed,Vyznam,Obrazek,Botanik_char,Oblast,Narok_char,Sklizen_uprava,Uziti,Uzitek,Typ,Barva,Temp
1,Abies alba Mill.,,jedle bělokorá,,,Pinaceae,0,,,,,,,,,,Pinaceae
2,Abies concolor (Gord. et Glend.) Hildebr.,,jedle ojíněná,,,Pinaceae,0,,,,,,,,,,Pinaceae
3,Abies homolepis Siebold et Zucc.,,jedle nikkoská,,,Pinaceae,0,,,,,,,,,,Pinaceae
4,Abies nordmanniana (Steven) Spach,,jedle kavkazská,,,Pinaceae,0,,,,,,,,,,Pinaceae
5,Abutilon theophrasti Medik.,,mračňák theophrastův,,,Malvaceae,0,,,,,,,,,,Malvaceae
6,Acer campestre L. ,,javor babyka,,,Aceraceae,0,,,,,,,,,,Aceraceae
7,Acer japonicum Thunb. ,,javor japonský,,,Aceraceae,0,,,,,,,,,,Aceraceae
8,Acer negundo L.,Syn.: Negundo aceroides Moench,javor jasanolistý (javorovec jasanolistý),,,Aceraceae,0,,,,,,,,,,Aceraceae
9,Acer palmatum Thunb. ,,javor dlanitolistý,,,Aceraceae,0,,,,,,,,,,Aceraceae
10,Acer platanoides L. ,,javor mléč,,,Aceraceae,0,,,,,,,,,,Aceraceae
11,Acer pseudoplatanus L. ,,javor klen,,,Aceraceae,0,,,,,,,,,,Aceraceae
12,Acer saccharinum L.,,javor stříbrný,,,Aceraceae,0,,,,,,,,,,Aceraceae
13,Achillea asplenifolia Vent. ,,řebříček sleziníkolistý,,,Asteraceae,0,,,,,,,,,,Asteraceae
14,Achillea clypeolata Sibth. et Sm.,,,,,Asteraceae,0,,,,,,,,,,Asteraceae
15,Achillea collina Heimerl,,řebříček chlumní,,,Asteraceae,0,,,,,,,,,,Asteraceae
16,Achillea crithmifolia Waldst. et Kit.,,řebříček jemnolistý,,,Asteraceae,0,,,,,,,,,,Asteraceae
17,Achillea grandifolia Friv.,,řebříček velkolistý,,,Asteraceae,0,,,,,,,,,,Asteraceae
18,Achillea macrophylla L.,,řebříček širolistý,,,Asteraceae,0,,,,,,,,,,Asteraceae
19,Achillea millefolium L.,,řebříček obecný,Myší chvost obyčajný,"husí jazýček, kočičí ocas, krkavník, myší ocásek, tisícilistník, zaječí chléb, ovčí žebro, žebříček, cikánský žebř, hřebíček, husí ocásek, kočíčí ocas, kroupky, krupička, krvavník, mačačinec, myší chvost, ovčí žebro, řebřík, žebřík",Asteraceae,1,,,,,,,,,#ffffff,Asteraceae
20,Achillea millefolium subsp. millefolium,,řebříček obecný pravý,,,Asteraceae,0,,,,,,,,,,Asteraceae
21,Achillea millefolium subsp. sudetica (Opiz) Oborny,"Syn.: Achillea millefolium var. alpestris Wimm. et Grab., A. sudetica Opiz",řebříček obecný sudetský,,,Asteraceae,0,,,,,,,,,,Asteraceae
22,Achillea nobilis L.,(incl. Achillea neilreichii A. Kern.),řebříček sličný,,,Asteraceae,0,,,,,,,,,,Asteraceae
23,Achillea pratensis Saukel et Länger,,řebříček luční,,,Asteraceae,0,,,,,,,,,,Asteraceae
24,Achillea ptarmica L.,Syn.: Ptarmica vulgaris Hill,řebříček bertrám,,,Asteraceae,0,,,,,,,,,,Asteraceae
25,Achillea setacea Waldst. et Kit. ,,řenříček štětinolistý,,,Asteraceae,0,,,,,,,,,,Asteraceae
26,Achillea tanacetifolia auct. ,"Syn.: Achillea distans s.l., A. stiriaca Saukel et al. ined.",řebříček vratičolistý,,,Asteraceae,0,,,,,,,,,,Asteraceae
27,Achillea tomentosa L.,,řebříček plstnatý,,,Asteraceae,0,,,,,,,,,,Asteraceae
