ID,Auth1_prijm,Auth1_jmeno,Titul,nakladatelstvi,kategorie,Podtitul,edice,Auth2_prijm,Auth2_jmeno,Auth3_prijm,Auth3_jmeno,p_stran,rok_vydani,umisteni,ISBN,EAN,misc,svazek,odkaz,nahled,obrazek,adr
1,Přikryl,Luděk,Zahrádkářova čítanka,FABULA,400,Biodynamické pěstování zeleniny a ovoce,,,,,,272,2010,pr,978-80-86600-69-7,,,,,1552n67_big.jpg,,https://www.databazeknih.cz/knihy/zahradkarova-citanka-biodynamicke-pestovani-zeleniny-a-ovoce-144425
2,Syruček,Milan,"Voda, jak ji neznáme",EPOCHA,400,,,,,,,208,2011,pr,978-80-7425-105-4,,,,,,,https://www.databazeknih.cz/knihy/voda-jak-ji-nezname-93930
3,Hála,Jiří,"Radioaktivita, ionizující záření, jaderná energie",KONVOJ,600,,,,,,,312,1998,pr,80-85615-56-8,,,,,,,https://www.databazeknih.cz/knihy/radioaktivita-ionizujici-zareni-jaderna-energie-173558
4,Pitter,Pavel,Hydrochemie,VŠCHT,400,,,,,,,568,1999,pr,978-80-7080-928-0,,,,,,,https://www.databazeknih.cz/dalsi-vydani/hydrochemie-483084
5,Aichele,Dietmar,Co tu kvete?,DOBROVSKÝ,400,"Kapesní průvodce přírodou, Klasická příručka s novými fotografiemi",,,,,,446,2006,pr,80-7202-808-1,,,,,,,https://www.databazeknih.cz/knihy/co-tu-kvete-9693
6,Neomillnerová,Petra,Magický herbář,EPOCHA,400,Kapesní průvodce světem magických rostlin,,,,,,120,2011,pr,978-80-7425-100-9,,,,,,,https://www.databazeknih.cz/knihy/magicky-herbar-91612
7,Ball,Martin W.,Duše šalvěje,DYBBUK,400,Šalvěj divotvorná a entherogenní zážitky,,,,,,175,2009,pr,978-80-86862-76-7,,,,,,,https://www.databazeknih.cz/knihy/duse-salveje-salvej-divotvorna-a-entheogenni-zazitky-139150
8,Herčík,Miroslav,111 otázek a odpovědí o životním prostředí,MONTANEX,400,"Chytrá kniha pro studenty, odborníky a širokou veřejnost",,,,,,152,2004,pr,80-7225-123-6,,,,,,,https://www.databazeknih.cz/knihy/111-otazek-a-odpovedi-o-zivotnim-prostredi-131735
9,Petránek,Jan,Za tajemstvím kamenů,GRADA,400,"Příručka pro mladé sběratele hornin, minerálů a zkamenělin",,,,,,200,2011,pr,978-80-247-3738-6,,,,,,,https://www.databazeknih.cz/knihy/za-tajemstvim-kamenu-96434
10,Walker,C.B.F.,Klínopis,VOLVOX GLOBATOR,530,Čtení v minulosti,Litera,,,,,78,2007,ro,978-80-7207-627-7,,,3,,,,https://www.databazeknih.cz/knihy/klinopis-141234
11,Reid,Daniel,"Tao zdraví, sexu a dlouhého života",PRAGMA,510,Nový praktický přístup starého vědění,,,,,,463,2005,ce,80-7205-209-8,,,,,,,https://www.databazeknih.cz/knihy/tao-zdravi-sexu-a-dlouheho-zivota-53650
12,Weidner,Christopher A.,Doktor Feng-šuej,FONTÁNA,510,Komplexní léčba a udržení zdraví podle tradiční čínské medicíny,,Dong,Sui Xiang,,,139,2011,ce,978-80-7336-615-5,,,,,,,https://www.databazeknih.cz/knihy/doktor-feng-suej-482899
13,Frotscher,Sven,5000 znaků a symbolů světa,GRADA,540,,,,,,,268,2008,ce,978-80-247-2230-6,,,,,,,https://www.databazeknih.cz/knihy/5000-znaku-a-symbolu-sveta-48212
14,Berger,Peter L.,Pozvání do sociologie,BARRISTER & PRINCIPAL,530,Humanistická perspektiva,,,,,,194,2003,ce,80-85469-08-01,,,,,,,https://www.databazeknih.cz/knihy/pozvani-do-sociologie-humanisticka-perspektiva-64332
15,Zapletal,Miloš,Špalíček her,ALBATROS,520,,,,,,,368,1988,ce,13-712-88,,,,,,,https://www.databazeknih.cz/knihy/spalicek-her-59261
16,Kosorin,Pavel,Aforismy,CESTA,540,,,,,,,,2002,ce,80-7295-039-8,,,,,,,https://www.databazeknih.cz/knihy/aforismy-145850
17,,,Přísloví krále Šalamouna,BIBLION,550,,,,,,,150,2006,ce,80-902458-8-9,,,,,,,https://www.databazeknih.cz/knihy/prislovi-krale-salomouna-41753
18,Frankfurt,Harry G.,Sračka,COLUMBUS,540,,,,,,,65,2005,ce,80-7249-216-0,,,,,,,https://www.databazeknih.cz/knihy/sracka-61523
19,Gellner,František,Radosti života,MAŤA,540,,,,,,,88,2011,ce,978-80-7399-386-3,9788072871568,,,,,,https://www.databazeknih.cz/dalsi-vydani/radosti-zivota-78958?lang=cz
20,Anangaranga,,Květy rozkoše orientu,SVÍTÁNÍ,520,,,Mitner,Vít,,,102,2006,ce,80-86198-24-3,9788086198248,,,,,,https://www.databazeknih.cz/knihy/kvety-rozkose-orientu-329020
21,Vohlídal,Jiří,Chemické a analytické tabulky,GRADA,600,,,Julák,Alois,Štulík,Karel,652,1999,pr,978-80-7169-855-5,,,,,,,https://www.databazeknih.cz/knihy/chemicke-a-analyticke-tabulky-191780
22,Wilkens,Andreas,"Voda, učme se jí rozumět",DHARMAGAIA,400,Nový pohled na podstatu vody,,Jacobi,Michael,Schwenk,Wolfram,70,2001,pr,80-85905-99-X,,,,,,,https://www.databazeknih.cz/knihy/voda-ucme-se-ji-rozumet-315993
23,Kafka,Břetislav,Nové základy experimentální psychologie,POZNÁNÍ,510,Duševědné výzkumy a objevy,,,,,,456,2016,,80-85385-08-2,,,,,,,https://www.databazeknih.cz/dalsi-vydani/nove-zaklady-experimentalni-psychologie-298297
24,Vermeulen,Nico,Encyklopedie byliny a koření,REBO PRODUCTIONS,400,,,,,,,320,2008,,978-80-7234-664-6,,,,,,,https://www.databazeknih.cz/knihy/encyklopedie-byliny-a-koreni-99288
25,DuQuette,Lon Milo,Klíč k Šalamounovu klíči,MLADÁ FRONTA,550,Tajemství magie a zednářství,,,,,,208,2007,,80-204-1557-2,,,,,,,https://www.databazeknih.cz/knihy/klic-k-salomounovu-klici-405584
26,Filipský,Jan,Encykloedie indické mytologie,LIBRI,550,Postavy indických bájí a letopisů,,,,,,225,2007,,978-80-7277-348-0,,,,,,,https://www.databazeknih.cz/knihy/encyklopedie-indicke-mytologie-39216
27,,,Kybalion,EUGENIKA,550,Studie o hermetické filosofii,,,,,,188,2012,,978-80-89227-74-7,,,,,,,https://www.databazeknih.cz/knihy/kybalion-studie-o-hermeticke-filosofii-stareho-egypta-a-recka-260718
28,Lovelock,James E.,Gaia,ABIES,400,Nový p'uohled na život na Zemi,,,,,,228,2001,,80-88699-18-5,,,,,,,https://www.databazeknih.cz/knihy/gaia-novy-pohled-na-zivot-na-zemi-203082
29,Lüpke,Geseko von,Poselství šamanů,PRÁH,550,Rozhovory s léčiteli a medicinmany 21.století,,,,,,377,2009,,978-80-7252-262-0,,,,,,,https://www.databazeknih.cz/knihy/poselstvi-samanu-34867
30,Blavatská,Helena Petrovna,Kniha Dzyan,DOBRA,550,,,,,,,227,2006,,80-86459-53-5,,,,,,,https://www.databazeknih.cz/knihy/kniha-dzyan-135224
31,Stejskal,Miloš,Moudrost starých Římanů,ODEON,540,,,,,,,240,1990,,80-207-0096-X,,,,,,,https://www.databazeknih.cz/knihy/moudrost-starych-rimanu-11631
32,Prokš,Petr,Politikové a vznik republiky,PROSPEKTRUM,540,1914-1918,,,,,,238,1998,,80-7175-078-6,,,,,,,https://www.databazeknih.cz/knihy/politikove-a-vznik-republiky-204684
33,,,Kuchařské suroviny a přísady,SLOVART,510,Praktická ilustrovaná příručka,,,,,,248,2007,,978-80-7209-901-6,,,,,,,https://www.databazeknih.cz/knihy/kucharske-suroviny-a-prisady-217936
34,Cyliani,,Odhalený Hermés,TRIGON,550,,,,,,,37,1996,,80-85320-87-8,,,,,,,https://www.databazeknih.cz/knihy/odhaleny-hermes-75843
35,Barlettová,Sarah,Tarot od A do Z,METAFORA,550,,,,,,,400,2007,,978-80-7359-115-1,,,,,,,https://www.databazeknih.cz/knihy/tarot-od-a-do-z-45803
36,Leary,Timothy,Psychidelie,LEVNÉ KNIHY KMA,540,Trilogie o halucinogenech,,Metzner,Ralph,Alpert,Richard,192,2000,,80-86425-97-5,,,,,,,https://www.databazeknih.cz/dalsi-vydani/psychedelie-trilogie-o-halucinogenech-66486
37,Kunz,Ina,Ruční papír jednoduše a tvořivě,CFA+H,400,Příručka pro výrobu ručního papíru,,,,,,53,2000,,80-902637-5-5,,,,,,,https://www.databazeknih.cz/knihy/rucni-papir-jednoduse-a-tvorive-prirucka-pro-vyrobu-rucniho-papiru-242816
38,Hemenwayová,Priya,Tajný kód,SLOVART,600,"Záhadný vzorec v umění, přírodě a vědě",,,,,,203,2009,,978-80-7391-253-6,,,,,,,https://www.databazeknih.cz/knihy/tajny-kod-57413
39,Merz,Blanche,Místa síly,FONTÁNA,400,Centra nejvyšší kosmicko-pozemské energie,,,,,,301,2008,,978-80-7336-476-2,,,,,,,https://www.databazeknih.cz/knihy/mista-sily-355228
40,Bürgin,Luc,Lexikon zakázané archeologie,DIALOG,540,Záhadné relikty od A do Z,,,,,,304,2011,,978-80-7424-025-6,,,,,,,https://www.databazeknih.cz/knihy/lexikon-zakazane-archeologie-zahadne-relikty-od-a-do-z-74914
41,Exupéry,Antoine de Saint,Citadela,VYŠEHRAD,540,,,,,,,,,,978-80-7429-046-6,,,,,,,https://www.databazeknih.cz/dalsi-vydani/citadela-317767
42,Cílek,Václav,Posvátná krajina,MALVERN,550,"Eseje o místech, silách a dracích",,,,,,,,,,,,,,,,https://www.databazeknih.cz/knihy/posvatna-krajina-eseje-o-mistech-silach-a-dracich-192617
43,Funk,Karel,Léčba duše a elementálové,MALVERN,550,,,,,,,,,,,,,,,,,https://www.databazeknih.cz/knihy/lecba-duse-a-elementalove-381613
44,Rasmussen,Knud,Grónské mýty a pověsti,ARGO,540,,,,,,,,,,978-80-7203-876-3,,,,,,,https://www.databazeknih.cz/knihy/gronske-myty-a-povesti-57025
