ID,ABB,MEAN,MEMO
1,ACID,"Atomicity, Consistency, Isolation, Durability",property of a good database
2,ADT,ABAP Development Tools,
3,AFL,Application Function Library,
4,API,Application Programming Interface,
5,ASE,Adaptive Server Enterprise,
6,ASE,Adaptive Server Enterprise,SAP Sybase OLTP database
7,BA,Business Analytics,"""newer"" term for BI"
8,BAPI,Business Application Programming Interface,Standardized programming interface that enables external applications to access business processes and data in an SAP System.
9,BAdi,SAP delivered Business Add,In's  used to customize SAP ERP components for SAP Industry solutions and country variants. Also available for customers and partners for project specific enhancements.
10,BDC,Batch Data Communication,technology used for data transfer thru SAP transactions using different options for foreground/background processing.
11,BFL,Business Function Library,part of HANA
12,BI,Business Intelligence,"""older"" term for BA"
13,BOA,Business Objects Analysis,
14,BOBJ,Business OBJects,
15,BODS,Business Object Data Services,
16,BOR,Business Object Repository,Central repository within the SAP System containing all the SAP business object types and SAP interface types together with their definitions and methods
17,BPC,Business Planning and Consolidation Application,"available in a Microsoft version and a SAP NetWeaver version. The NetWeaver version requires BW, and can also utilize BW on HANA."
18,BW,SAP NetWeaver Business Warehouse,"for example 7.3, runs on traditional RDBMS, SAP NetWeaver BW, or on HANA, SAP NetWeaver BW on HANA"
19,BWA,SAP Business Warehouse Accelerator,"no further development, superfluous w BW on HANA"
20,CDA,Case Direct Access,
21,CIS,Component Integration Services,
22,CO-PA,Controlling Profitability Analysis,Module in SAP ECC
23,CRC,Cyclic Redundant Check,
24,CSB,Concurent License,
25,CTLIB,ClienT LIBrary,
26,CapEx,Capital Expenditure,Balance Sheet item where the depreciation amounts impact the P&L
27,Column Store,DB storage engine that stores each column (attribute) of a table sequentially in a contiguous area of memory,
28,Compression,Encoding information to achieve a lower consumption of in memory space,
29,D&T,Development & Testing,
30,DA,Data architekt,
31,DDIC,Data Dictionary stores in ERP all the meta data and ensures consistency across all tables,
32,DDL,Data Definition Language,
33,DML,Data Manipulation Language,
34,DMS,Document Management System,
35,DR,Disaster Recovery,usually restore from Backup
36,DS,SAP (BusinessObjects) DataServices,part of EIM
