ID,calendar,day_name,n_day,n_month,day_memo
1,cz_jmena,Adam,24,12,
2,cz_jmena,Adéla,2,9,
3,cz_jmena,Adolf,17,6,
4,cz_jmena,Adriana,26,6,
5,cz_jmena,Agáta,14,10,
6,cz_jmena,Alan,14,8,
7,cz_jmena,Albert,21,11,
8,cz_jmena,Albína,16,12,
9,cz_jmena,Alena,13,8,
10,cz_jmena,Aleš,13,4,
11,cz_jmena,Alexandr,27,2,
12,cz_jmena,Alexandra,21,4,
13,cz_jmena,Alexej,3,5,
14,cz_jmena,Alice,15,1,
15,cz_jmena,Alois,21,6,
16,cz_jmena,Alžběta,19,11,
17,cz_jmena,Amálie,10,7,
18,cz_jmena,Ambrož,7,12,
19,cz_jmena,Anastázie,15,4,
20,cz_jmena,Anděla,11,3,
21,cz_jmena,Andrea,26,9,
22,cz_jmena,Andrej,11,10,
23,cz_jmena,Aneta,17,5,
24,cz_jmena,Anna,26,7,
25,cz_jmena,Antonie,12,6,
26,cz_jmena,Antonín,13,6,
27,cz_jmena,Apolena,9,2,
28,cz_jmena,Arnošt,30,3,
29,cz_jmena,Artur,26,11,
30,cz_jmena,Augustýn,28,8,
31,cz_jmena,Barbora,4,12,
32,cz_jmena,Bartoloměj,24,8,
33,cz_jmena,Beáta,25,10,
34,cz_jmena,Bedřich,1,3,
35,cz_jmena,Běla,21,1,
36,cz_jmena,Benedikt,12,11,
37,cz_jmena,Benjamín,7,12,
38,cz_jmena,Bernard,20,8,
39,cz_jmena,Berta,23,9,
40,cz_jmena,Blahoslav,30,4,
41,cz_jmena,Blanka,2,12,
42,cz_jmena,Blažej,3,2,
43,cz_jmena,Blažena,10,5,
44,cz_jmena,Bohdan,9,11,
45,cz_jmena,Bohdana,11,1,
46,cz_jmena,Bohumil,3,10,
47,cz_jmena,Bohumila,28,12,
48,cz_jmena,Bohumír,8,11,
49,cz_jmena,Bohuslav,22,8,
50,cz_jmena,Bohuslava,7,7,
51,cz_jmena,Boleslav,6,9,
52,cz_jmena,Bonifác,14,5,
53,cz_jmena,Boris,5,9,
54,cz_jmena,Bořek,12,7,
55,cz_jmena,Bořivoj,30,7,
56,cz_jmena,Božena,11,2,
57,cz_jmena,Brigita,21,10,
58,cz_jmena,Bronislav,3,9,
59,cz_jmena,Bruno,11,6,
60,cz_jmena,Břetislav,10,1,
61,cz_jmena,Cecílie,22,11,
62,cz_jmena,Ctibor,9,5,
63,cz_jmena,Ctirad,16,1,
64,cz_jmena,Čeněk,19,7,
65,cz_jmena,Čestmír,8,1,
