country_name,country_id,area,residents,residents_capital,density,ZRIZENI,language,capital,money,SVETADIL
Afgánistán,,652090.0,24405000.0,2142300.0,37.4,republika,"pašto, dari",Kábul,1 afghání = 100 pulů,Asie
Albánie,AL,28748.0,3083300.0,404000.0,107.3,republika,albánština,Tiranë,1 lek = 100 quindarů,Evropa
Alžírsko,DZ,2381741.0,32675900.0,1696000.0,13.7,republika,arabština,El-Djazair/Alger,1 alžírský dinár = 100 centimů,Afrika
Andorra,AND,468.0,69500.0,22700.0,148.5,parlamentní knížectví,"katalánština, francouzština, španělština",Andorra la Vella,1 euro = 100 centů,Evropa
Angola,,1246700.0,12729700.0,2193000.0,10.2,republika,portugalština,Luanda,1 kwanza = 100 lwei,Afrika
Antigua a Barbuda,,442.0,66500.0,23400.0,150.5,dominium,angličtina,Saint John´s,1 východokaribský dolar = 100 cen,Severní Amerika
Argentina,RA,2780400.0,36508600.0,11957700.0,13.1,republika,španělština,Buenos Aires,1 argentinské peso = 100 centavů,Jižní Amerika
Arménie,,29800.0,3866400.0,1258000.0,129.7,republika,arménština,Erevan,1 dram = 100 luma,Asie
Austrálie,AUS,7692030.0,19731000.0,324300.0,2.6,britské dominium,angličtina,Canberra,1 australský dolar = 100 centů,Austrálie a Oceánie
Ázerbajdžán,,86600.0,81358000.0,1228500.0,939.5,republika,azerbajdžánština,Baku,1 manat = 100 gopiků,Asie
Bahamy,BS,13962.0,314400.0,218400.0,22.5,dominium,angličtina,Nassau,1 bahamský dolar = 100 centů,Severní Amerika
Bahrajn,,694.0,703500.0,146000.0,1013.7,emirát,arabština,Al-Manāmah,1 bahrajnský dinár = 1000 filů,Asie
Bangladéš,,147570.0,136433600.0,8539500.0,924.5,republika,bengálština,Dhaka/Dacca,1 taka = 100 pajsů,Asie
Barbados,BDS,431.0,263800.0,98900.0,612.1,dominium,angličtina,Bridgetown,1 barbadoský dolar = 100 centů,Severní Amerika
Belgie,B,30528.0,10274700.0,958800.0,336.6,konstituční monarchie (království),"vlámština, francouzština, nemčina",Bruxelles/Brussel,1 euro = 100 centů,Evropa
Belize,,22966.0,251600.0,8500.0,11.0,dominium,angličtina,Belmopan,1 belizský dolar = 100 centů,Severní Amerika
Bělorusko,,207500.0,10073600.0,1764700.0,48.5,republika,"běloruština, ruština",Minsk,1 běloruský rubl = 100 kopějek,Evropa
Benin,,112622.0,6605500.0,720000.0,58.7,republika,francouzština,Porto Novo,1 CFA frank = 100 centimů,Afrika
Bhútan,,46673.0,1721300.0,57900.0,36.9,konstituční monarchie (království),dzongkha,Thimbu,1 ngultrum = 100 chertumů,Asie
Bolívie,,1098751.0,8476200.0,199500.0,7.7,republika,"španělština, kečuánština",Sucre/La Paz,1 boliviano = 100 centavů,Jižní Amerika
Bosna a Hercegovina,,51129.0,4339600.0,434000.0,84.9,republika,"bosenština, srbština, chorvatština",Sarajevo,1 konvertibilní marka = 100 pfenigů,Evropa
Botswana,,582356.0,1688400.0,190500.0,2.9,republika,"tswanština, angličtina",Gaborone,1 pula = 100 thebe,Afrika
Brazílie,BR,8547400.0,176274400.0,2089500.0,20.6,federativní republika,portugalština,Brasília,1 real = 100 centavů,Jižní Amerika
Brunej,,5765.0,354500.0,74700.0,61.5,absolutní monarchie (sultanát),malajština,Bandar Seri Begawan,1 brunejský dolar = 100 centů,Asie
Bulharsko,BG,110971.0,7946000.0,1092600.0,71.6,republika,bulharština,Sofija,1 leva = 100 stotinek,Evropa
Burkina,,267950.0,12083700.0,840000.0,45.1,republika,francouzština,Ouagadougou,1 CFA frank = 100 centimů,Afrika
Burundi,,27834.0,7396000.0,323000.0,265.7,republika,"rundština, francouzština",Bujumbura,1 burundský frank = 100 centimů,Afrika
Čad,,1284000.0,7114400.0,602800.0,5.5,republika,"arabština, francouzština",N´Djamena,1 CFA frank = 100 centimů,Afrika
Česká republika,CZ,78866.0,10292000.0,1169106.0,130.5,republika,čeština,Praha,1 česká koruna = 100 haléřů,Evropa
Čína,RC,9574479.0,1306668400.0,7127500.0,136.5,republika,čínština,Beijing,1 Renminbi juan = 10 jiao = 100 fenů,Asie
Dánsko,DK,43096.0,5421200.0,1096000.0,125.8,konstituční monarchie (království),dánština,København,1 dánská koruna = 100 ore,Evropa
Dominika,,751.0,70600.0,19700.0,94.0,republika,angličtina,Roseau,1 východokaribský dolar = 100 cen,Severní Amerika
Dominikánská republika,DOM,48743.0,9093000.0,2061000.0,186.5,republika,španělština,Santo Domingo,1 dominikánské peso = 100 centavů,Severní Amerika
Džibutsko,,23200.0,780000.0,290000.0,33.6,republika,"arabština, francouzština",Djibouti,1 džibutský frank = 100 centimů,Afrika
Egypt,ET,1001450.0,67786300.0,7764700.0,67.7,republika,arabština,Al-Qāhirah,1 egyptská libra = 100 piastrů,Afrika
Ekvádor,EC,272045.0,12280400.0,1421800.0,45.1,republika,španělština,Quito,1 americký dolar = 100 centů,Jižní Amerika
Eritrea,,121143.0,3917000.0,392500.0,32.3,republika,arabština,Asmera,1 nakfa = 100 centů,Afrika
Estonsko,EW,45227.0,1299000.0,386100.0,28.7,republika,estonština,Tallinn,1 estonská koruna = 100 senti,Evropa
Etiopie,ETH,1127127.0,67980000.0,2638000.0,60.3,republika,amharština,Addis Abeba,1 birr = 100 centů,Afrika
Federat. státy Mikronésie,,721.0,154400.0,11000.0,214.3,,angličtina,Palikir,1 americký dolar = 100 centů,Austrálie a Oceánie
Fidži,,18274.0,812000.0,176000.0,44.4,republika,"angličtina, fidžijština, hindština",Suva,1 fidžijský dolar = 100 centů,Austrálie a Oceánie
Filipíny,,300076.0,79894200.0,10133200.0,266.2,republika,"filipínština (pilipino), angličtina",Manila,1 filipínské peso = 100 centavů,Asie
Finsko,SF,338145.0,5204900.0,574700.0,15.4,republika,"finština,švédština",Helsinky/Helsingfors,1 euro = 100 centů,Evropa
Francie,F,543965.0,59107500.0,2113000.0,108.7,republika,francouzština,Paris,1 euro = 100 centů,Evropa
Gabon,,267667.0,1308500.0,541000.0,4.9,republika,francouzština,Libreville,1 CFA frank = 100 centimů,Afrika
Gambie,,10689.0,1417800.0,58800.0,132.6,republika,angličtina,Banjul,1 dalasi = 100 bututů,Afrika
Ghana,GH,238538.0,19361100.0,1605000.0,81.2,republika,angličtina,Accra,1 cedi = 100 pesewů,Afrika
Grenada,,345.0,93800.0,4400.0,272.3,dominium,angličtina,Saint George´s,1 východokaribský dolar = 100 cen,Severní Amerika
Gruzie,,69700.0,5402800.0,1382900.0,77.5,republika,gruzínština,Tbilisi,1 lari = 100 tetri,Asie
Guatemala,GCA,108894.0,13730900.0,1090300.0,126.1,republika,španělština,Guatemala,1 quetzal = 100 centavů,Severní Amerika
Guinea,,245857.0,7955700.0,1587000.0,32.4,republika,francouzština,Conakry,1 guinejský frank = 100 kauri,Afrika
Guinea - Bissau,,36125.0,1317700.0,288000.0,36.5,republika,portugalština,Bissau,1 frank  CFA = 100 centimů,Afrika
Guyana,GUY,215083.0,861200.0,225800.0,4.0,republika,angličtina,Georgetown,1 guyanský dolar = 100 centů,Jižní Amerika
Haiti,RH,27748.0,8317000.0,1082000.0,299.7,republika,francouzština,Port - au - Prince,1 gourde = 100 centimů,Severní Amerika
Honduras,,112088.0,6438000.0,1186000.0,57.4,republika,španělština,Tegucigalpa,1 lempira = 100 centavů,Severní Amerika
Chile,RCH,755482.0,15050300.0,4311000.0,19.9,republika,španělština,Santiago de Chile,1 chilské peso = 100 centavů,Jižní Amerika
Chorvatsko,HR,56538.0,4356500.0,765700.0,77.1,republika,chorvatština,Zagreb,1 kuna = 100 lipa,Evropa
Indie,IND,3166944.0,1047074600.0,300500.0,330.6,federativní republika,"hindština,angličtina",New Delhi,1 indická rupie = 100 paisů,Asie
Indonésie,RI,1904443.0,217728300.0,10819400.0,114.3,republika,indonéština,Jakarta,1 indonéská rupie = 100 senů,Asie
Irák,IRQ,438446.0,23332000.0,4958000.0,53.2,republika,arabština,Baghdād,1 irácký dinár = 1000 filů,Asie
Írán,IR,1638057.0,65529100.0,7722900.0,40.0,islámská republika,perština,Tehrān,1 íránský riál = 100 dinárů,Asie
Irsko,IRL,70723.0,3780600.0,993300.0,53.0,republika,"irština, angličtina",Baile Átha Cliath/Dublin,1 euro = 100 centů,Evropa
Island,IS,102829.0,287500.0,114200.0,2.8,republika,islandština,Reykjavík,1 islandská koruna = 100 aurar,Evropa
Itálie,I,301337.0,58082500.0,2649500.0,192.7,republika,italština,Roma,1 euro = 100 centů,Evropa
Izrael,IL,21501.0,6413800.0,648700.0,298.3,republika,"hebrejština,arabština",Yerushalayim,1 nový šekel = 100 agor,Asie
Jamajka,JA,10991.0,2738000.0,583900.0,249.1,dominium,angličtina,Kingston,1 jamajská dolar = 100 centů,Severní Amerika
Japonsko,J,377819.0,127459100.0,8180500.0,337.4,konstituční monarchie (císařství),japonština,Tōkyō,1 jen = 100 senů,Asie
Jemen,,528078.0,16650900.0,1653300.0,31.5,republika,arabština,San'ā',1 jemenský siál = 100 filů,Asie
Jihoafrická republika,ZA,1219000.0,45129400.0,1228000.0,37.0,republika,"angličtina,afrikánština",Pretoria/Cape Town,1 rand = 100 centů,Afrika
Jordánsko,JOR,88946.0,5430400.0,1252900.0,61.1,konstituční monarchie,arabština,Ammān,1 jordánský dinár = 1000 filů,Asie
Kambodža,,181035.0,12971200.0,1133800.0,71.7,konstituční monarchie,khmerština,Phnum Pénh,1 riel = 100 senů,Asie
Kamerun,,475442.0,15906500.0,1120000.0,33.5,republika,"francouzština, angličtina",Yauondé,1 frank  CFA = 100 centimů,Afrika
Kanada,CDN,9976139.0,31497000.0,348500.0,3.2,britské dominium,"angličtina, francouzština",Ottawa,1 kanadský dolar = 100 centů,Severní Amerika
Kapverdy,,4033.0,449100.0,98000.0,111.4,republika,portugalština,Praia,1 kapverdské escudo = 100 centavů,Afrika
Karibati,,832.0,94900.0,25900.0,114.1,republika,angličtina,Bairiki,1 australský dolar = 100 centů,Austrálie a Oceánie
Katar,,11437.0,610500.0,308800.0,53.4,konstituční monarchie,arabština,Ad-Dawhah,1 katarský riál = 100 dirhamů,Asie
Kazachstan,,2724900.0,14446700.0,293800.0,5.3,republika,kazaština,Astana,1 tenge = 100 tijinů,Asie
Keňa,EAK,582646.0,31505000.0,2312000.0,54.1,republika,"svahilština, angličtina",Nairobi,1 keśký šilink = 100 centů,Afrika
KLDR,,122762.0,24789100.0,2724700.0,201.9,republika,korejština,Pyongyang,1 won = 100 čonů,Asie
