ID,Sefira,Vyznam,Jmeno_Bozi,Esoterni_symsl,Atributy_Boha,Kury_andele,Atributy_andele,Vladcove_kuru,Makrokosmos,Mikrokosmos,Psychicke_kvality,Formy_poznani,Schopnosti,Ctnosti
1,Keter,"Koruna, prozřetelnost",Eheihe,Jádro bytování,Vševědoucí a dobrotivý,"Haioth hakkadoš, Haroth Serafini","Kníže světa, Inteligence, Entelechie Prozřetelnosti",Mittatrom,Ohnivé nebe,Mozek,Bdění,Víra,"Duch, mysl",Cudnost
2,Binah,Tvůrčí inteligence,Jah,"Spojení kladného a záporného principu, Tajemství slova",Žehnající,"Ofanim, Cherubíni","Poslové Boha, Pohybovatelé nebeských sfér",Baziel,Primum mobile,Plíce,Letargie,Meditace,"Rozum, intelekt",Dobrota
3,Chokmah,Moudrost Boží,Ihoah,"Jednota ducha a duše ve vesmíru, Životní síla",Nejmoudřejší,"Aralim, Trůnové","Pozorovatelé Boha, Mocní",Tsafkiel,Nebe stálic,Srdce,Extase,Poznávání,Rozmysl,Moudrost
4,Gedulah,Nekonečné milosrdenství,El,Přechod jednoty do prostoru a času,Milosrdný,"Hašmalim, Panstva","Andělé Boží spravedlnosti, Zářící",Tsadkiel,Saturn,Žaludek,Spánek,Láska,Vyšší soudnost,Milosrdenství
5,Geburah,Nejvyšší spravedlnost,"Elohim, Gibor","Bůh bohů, Bůh bohočlověka",Silný,"Serafim, Síly","Andělé Božího trestu, Horliví",Sammael,Jupiter,Játra,Vytržení,Naděje,Nižší soudnost,Statečnost
6,Tifereth,Nepomíjející krása,Eloha,Bůh v jeho odlescích,Trpělivý,"Malachom, Mocnosti","Andělé Bohu podobní, Králové lesku",Michael,Mars,Žluč,Sen,Modlitba,Fantasie,Trpělivost
7,Necah,Vítězství života,"Ihoah, Zebaoth",Bůh vítězství,Spravedlivý,"Elohim, Knížata","Andělé Boží milosti, Bohové",Haniel,Slunce,Slezina,Katalepsie,Spojování,Vyšší smysl,Spravedlnost
8,Hod,"Nádhera, Věčnost bytí","Elohim, Zebaoth",Bůh oplodňující čtyřmi živly astrálního světa,Vznešen,"Bne Elohim, Archandělé","Lékaři Boží, Synové Bohů",Rafael,Venuše,Ledviny,Epilepsie,Mnohost,Vnější smysl,Pokora
9,Jesod,"Základ, PLození",Šaddaj,Bůh-Tvůrce budoucnosti,Horlivý,"Cherubim, Andělé","Mocnosti Boží, Nositelé astrálního ohně, Ochránci duší",Gabriel,Merkur,Pohlaví mužské,Somnabulismus,Spojitost,Poznání subjektivní,Umírněnost
10,Malkuth,Říše tvarů,"Adonai, Melech",Bůh zjevující se ve věčném zákonu Universa,Strašlivý,"Išim, Duše lidské",Duše oslavené,Mesiáš,Luna,Děloha,Divotvorství,Podobnost,Poznání objektivní,Bázeň Boží
