ID,area,area_category,cname,cname_cz,cname_sk,symbol,value,exponent,units,tolerance,link,link_cz,comment
1,astro,,epoch,,,,2444238.5,,,,,,
2,astro,,ecliptic_longitude_epoch,,,,278.83354,,,,,,
3,astro,,ecliptic_longitude_perigee,,,,282.596403,,,,,,
4,astro,,Earth eccentricity,,,,0.01671123,0,,,,,
5,astro,,Earth radius,,,R(E),6.37816,6,m,,,,
6,astro,,Earth speed of rotation (radius),,,,1674.38,,km.h-1,,,,
7,astro,,Earth orbital circumference,,,,9.4,8,km,,,,
8,phys,,Speed of light in a vacuum,Rychlost světla ve vakuu,,c,2.99792458,10,cm.s-1,0,https://en.wikipedia.org/wiki/Speed_of_light,https://cs.wikipedia.org/wiki/Rychlost_sv%C4%9Btla,
9,phys,,Planck constant,Planckova konstanta,,h,6.6260755,-27,erg.s,0.6,,,
10,phys,,Reduced Planck constant,Redukovaná Planckova konstanta,,hbar,1.05457266,-27,erg.s,0.6,https://en.wikipedia.org/wiki/Planck_constant,,
11,phys,,Gravitational constant,Gravitační konstanta,,G,6.6743015,-11,m3·kg−1·s−2,0.00015,https://en.wikipedia.org/wiki/Gravitational_constant,https://cs.wikipedia.org/wiki/Gravita%C4%8Dn%C3%AD_konstanta,Newtonova gravitační constanta
12,chem,,Electron charge,,,e,4.8032068,-10,esu,0.3,,,
13,chem,,Mass of electron,,,m(e),9.1093897,-28,g,0.59,,,
14,chem,,Mass of proton,,,m(p),1.6726231,-24,g,0.59,,,
15,chem,,Mass of neutron,,,m(n),1.6749286,-24,g,0.59,,,
16,chem,,Mass of hydrogen,,,m(H),1.6733,-24,g,,,,
17,chem,,Dalton,Atomová hmotnostní konstanta,,amu,1.6605402,-24,g,0.59,https://en.wikipedia.org/wiki/Dalton_(unit),https://cs.wikipedia.org/wiki/Atomov%C3%A1_hmotnostn%C3%AD_konstanta,1/12 kidové hmotnosti atomu uhlíku
18,astro,,Astronomical unit,,,AU,1.496,16,cm,,,,
19,astro,,Parsec,,,pc,3.086,18,cm,,,,
20,astro,,Light year,,,ly,9.463,17,cm,,,,
21,astro,,Solar mass,,,M(O),1.99,33,g,,,,
22,astro,,Solar radius,,,R(O),6.96,10,cm,,,,
23,astro,,Solar luminosity,,,L(O),3.9,33,erg.s-1,,,,
24,astro,,Solar temperature,,,T(O),5.78,3,K,,,,
25,chem,,Avagadro constant,Avogadrova konstanta,,N(A),6.02214076,23,mol-1,0,https://en.wikipedia.org/wiki/Avogadro_constant,https://cs.wikipedia.org/wiki/Avogadrova_konstanta,
26,chem,,Boltzmann constant,Boltzmannova konstanta,,k,1.380649,-23,J.k-1,0,https://en.wikipedia.org/wiki/Boltzmann_constant,https://cs.wikipedia.org/wiki/Boltzmannova_konstanta,
27,phys,,,,,c2,1.438769,-2,m.K,0.000012,,,
28,phys,,Atomic unit,Atomová jednotka,,ea0,"8,478 418",-30,C.m,,,,
29,general,,,hmotnost,,m,1,,kg,,,,
30,general,,,čas,,t,1,,s,,,,
31,general,,,elektrický proud,,I,1,,A,,,,
32,general,,,teplota (termodynamická),,T,1,,K,,,,
33,general,,,teplota (Celsiova),,t,1,,°C,,,,
34,general,,,teplota (Kelivnova),,t,1,,K,,,,
35,general,,,látkové množství,,n,1,,mol,,,,
36,general,,length,délka,,l/d/x,1,,m,,,,
37,general,,area,plošný obsah,,A/S,1,,m2,,,,
38,general,,Volume,objem,,,1,,m3,,,,
39,general,,Pressure,tlak,,p,1,,Pa,,,,
40,general,,entity number,počet entit,,N,1,,1,,,,
41,general,,,,,,,,,,,,
42,general,,,,,,,,,,,,
43,general,,,,,,,,,,,,
44,general,,,,,,,,,,,,
45,phys,,Von Klitzing constant,Von Klitzingova konstanta,,Rk,25812.80745,0,Ω,0,https://en.wikipedia.org/wiki/Quantum_Hall_effect#Applications,https://cs.wikipedia.org/wiki/Kvantov%C3%BD_Hall%C5%AFv_jev#Von_Klitzingova_konstanta,
46,phys,,Stefan–Boltzmann constant,Stefanova–Boltzmannova konstanta,,σ,5.670374419,-8,W·m−2·K−4,0,https://en.wikipedia.org/wiki/Stefan%E2%80%93Boltzmann_constant,,
47,,,Rydberg constant,Rydbergova konstanta,,Rinf,10973731.56816,0,m-1,0,https://en.wikipedia.org/wiki/Rydberg_constant,https://cs.wikipedia.org/wiki/Rydbergova_konstanta,
