ID,nazev,zanr,hodnoceni,vydani,web
1,Maniac Mansion,1,,,
2,Zak McKracken and the Alien Mindbenders,1,,,
3,Indiana Jones and the Last Crusade,1,,,
4,Loom,1,,,
5,Passport to Adventure,1,,,
6,The Secret of Monkey Island,1,,,
7,Monkey Island 2: LeChuck's Revenge,1,,,
8,Indiana Jones and the Fate of Atlantis,1,,,
9,Day of the Tentacle,1,,,
10,Sam & Max Hit the Road,1,,,
11,Full Throttle,1,,,
12,The Dig,1,,,
13,The Curse of Monkey Island,1,91,,
14,Beneath a Steel Sky,1,,,
15,Broken Sword 1,1,,,
16,Broken Sword 2,1,,,
17,Flight of the Amazon Queen,1,,,
18,Gobliiins,1,,,
19,Inherit the Earth,1,,,
20,Simon the Sorcerer 1,1,,1993,http://adventuresoft.com/gs1.html
21,Simon the Sorcerer 2,1,,1995,http://adventuresoft.com/gs2.html
22,The Legend of Kyrandia,1,,,
23,Kyrandia series,1,,,
24,Quest for glory,1,,,
25,Kings quest,1,,,
26,Beneath the steel sky,1,,,
27,ScummVM,,,,
28,Balls of steel,,90,,
29,Fishing Trip,,90,,
30,7 dní a 7 nocí,1,,,
31,Warcraft III,,,,
32,Hoyle Puzzle and Board Games,,,2012,http://www.hoylegaming.com/p-50-hoyle-puzzle-and-board-games-2012.aspx
33,Virtual Pool,,90,,
34,Yesterday,,,,
35,Silent Age,1,,,
36,Machinarium,1,80,,
37,Hero of many,,,,
38,Free Heroes,,,,
39,DDD Pool,,90,,
40,Knights of Honor,,,,
41,Platypus,,90,,
42,Worms 1,,,,
43,Worms 2,,,,
44,Worms World Party,,90,,
45,Wolfenstein 3D,,95,,
46,Doom 1,,95,,
47,Doom 2,,95,,
48,Civilization,,95,,
49,Duke Nukem 3D,,95,,
50,Blood,,95,,
51,Shadow Warrior,,95,,
52,Battlezone,,95,,
53,Empire Earth,,95,,
54,Gabriel Knight 3,1,95,,
55,Wizardy VIII,,95,,
56,Planescape,,95,,
57,Flight Unlimited,,95,,
58,Clive Barker's Undying,,95,,
59,Simon the Sorcerer 3D,1,,,http://adventuresoft.com/gs3.html
60,iQPuzzle,,,,#https://github.com/ElTh0r0/iqpuzzle#
61,Stendhal,,,,#https://arianne-project.org/game/stendhal.html#
62,Flare,,,,#http://flarerpg.org/#
