ID,ename,developer,language,category,estor_tran,estor_anal,estor_dwh,estor_intg,website,e_win,e_lnx,e_unx,e_mac,edep_onprem,edep_cloud,open_source,eprice,free,security,openness,point
1,SQLite,Dwayne Richard Hipp,C,1,1,0,0,0,https://www.sqlite.org/,1,1,1,1,1,0,1,0,1,5,1,embed RDBMS
2,SQL Anywhere,SAP,,1,1,0,0,0,https://www.sap.com/products/sql-anywhere.html,1,1,1,1,1,0,0,,1,5,,RDBMS
3,Adaptive Server Enterprise,SAP,C/C++,1,1,0,0,0,https://www.sap.com/products/sybase-ase.html,1,1,1,0,1,1,0,,1,5,,extreme OLTP
4,Microsoft SQL Server,Microsoft,,1,1,0,0,0,https://www.microsoft.com/en-us/sql-server/,1,1,0,0,1,1,0,,0,5,,
5,Oracle Database,Oracle Corporation,Assembly language/C/C++,1,1,0,0,0,https://oracle.com/database,1,1,1,0,1,1,0,,0,5,,
6,MySQL,Oracle Corporation,C/C++,1,1,0,0,0,https://www.mysql.com/,1,1,1,1,1,0,1,0,1,5,,NoSQL
7,PostgreSQL,PostgreSQL Global Development Group,C,1,1,0,0,0,https://www.postgresql.org/,1,1,1,1,1,0,1,0,1,5,,
8,MongoDB,"MongoDB, Inc",C++,6,1,0,0,0,https://www.mongodb.com/,1,1,1,1,1,0,0,,,5,,JSON store
9,Vantage,Teradata,,7,5,0,0,0,https://www.teradata.com/,1,1,1,0,1,0,0,,0,5,,
10,DB2,IBM,Assembly language/C/C++,1,1,0,0,0,https://www.ibm.com/products/db2-database,0,1,1,0,1,0,0,,0,5,,
11,HANA,SAP,,7,2,0,0,0,https://www.sap.com/products/hana.html,0,1,0,0,1,1,0,10000,1,7,,cloud platform
12,IQ,SAP,C/C++,1,0,1,0,0,https://www.sap.com/products/sybase-iq-big-data-management.html,1,1,1,0,1,1,0,1000,1,5,,extreme OLAP
13,Redis,Redis,C,6,1,0,0,0,https://redis.io/,1,1,1,1,1,0,0,,,5,,in-memory real-time
14,ElasticSearch,Apache Software Foundation,Java,6,1,0,0,0,https://www.elastic.co/,1,1,1,1,1,0,0,,,5,,advanced search
15,Cassandra,Apache Software Foundation,Java,1,0,0,1,0,https://gitbox.apache.org/repos/asf/cassandra.git,1,1,1,1,1,0,0,,,5,,NoSQL DWH platform 
16,SnowFlake,,,1,0,1,1,0,https://www.snowflake.com/,1,1,1,1,1,0,0,,,5,,one platform many workloads
17,Firebird,Firebird Foundation,C/C++,1,1,0,0,0,http://www.firebirdsql.org/,1,1,1,1,1,0,1,0,1,5,,
