ID,run_cmd,sys_part,to_access,description
1,ac3filter.cpl,,Opens AC3 Filter (If Installed),
2,access.cpl,,Accessibility Controls,
3,access.cpl,,Microsoft Access (if installed),
4,accwiz,,Accessibility Wizard,
5,acrobat,,Adobe Acrobat (if installed),
6,acrodist,,Adobe Designer (if installed),
7,acrodist,,Adobe Distiller (if installed),
8,appwiz.cpl,,Add/Remove Programs,
9,calc,,Calculator,
10,certmgr.msc,,Certificate Manager,
11,ciadv.msc,,Indexing Service,
12,cleanmgr,,Disk Cleanup Utility,
13,cliconfg,,SQL Client Configuration,
14,clipbrd,,Clipboard Viewer,
15,cmd,,Command Prompt,
16,compmgmt.msc,,Computer Management,
17,conf,,Netmeeting,
18,control,,Control Panel,
19,control admintools,,Administrative Tools,
20,control color,,Display Properties (w/Appearance Tab Preselected),
21,control desktop,,Display Properties,
22,control folders,,Folders Properties,
23,control fonts,,Fonts,
24,control keyboard,,Keyboard Properties,
25,control mouse,,Mouse Properties,
26,control netconnections,,Network Connections,
27,control printers,,Printers and Faxes,
28,control schedtasks,,Scheduled Tasks,
29,dcomcnfg,,Component Services,
30,ddeshare,,DDE Shares,
31,desk.cpl,,Display Properties,
32,devmgmt.msc,,Device Manager,
33,dfrg.msc,,Disk Defragment,
34,dialer,,Phone Dialer,
35,directx.cpl,,Direct X Control Panel (If Installed)*,
36,diskmgmt.msc,,Disk Management,
37,diskpart,,Disk Partition Manager,
38,drwtsn32,,Dr. Watson System Troubleshooting Utility,
39,dxdiag,,Direct X Troubleshooter,
40,eudcedit,,Private Character Editor,
41,eventvwr.msc,,Event Viewer,
42,excel,,Microsoft Excel (if installed),
43,explorer,,Windows Explorer,
44,findfast.cpl,,Findfast,
45,firefox,,Firefox (if installed),
46,firewall.cpl,,Windows Firewall,
47,fonts,,Fonts Folder,
48,freecell,,Free Cell Card Game,
49,frontpg,,Microsoft Frontpage (if installed),
50,fsmgmt.msc,,Shared Folders,
51,fsquirt,,Bluetooth Transfer Wizard,
52,gpedit.msc,,Group Policy Editor (XP Prof),
53,hdwwiz.cpl,,Add Hardware Wizard,
54,helpctr,,Help and Support,
55,hypertrm,,HyperTerminal,
56,charmap,,Character Map,
57,chkdsk,,Check Disk Utility,
58,icwconn1,,Internet Connection Wizard,
59,iexplore,,Internet Explorer,
60,iexpress,,Iexpress Wizard,
61,imageready,,Adobe ImageReady (if installed),
62,inetcpl.cpl,,Internet Properties,
63,inetwiz,,Internet Setup Wizard,
64,intl.cpl,,Regional Settings,
65,ipconfig /all,,IP Configuration (Display Connection Configuration),
66,ipconfig /displaydns,,IP Configuration (Display DNS Cache Contents),
67,ipconfig /flushdns,,IP Configuration (Delete DNS Cache Contents),
68,ipconfig /registerdns,,IP Configuration (Refreshes DHCP & Re-Registers DNS),
69,ipconfig /release,,IP Configuration (Release All Connections),
70,ipconfig /renew,,IP Configuration (Renew All Connections),
71,ipconfig /setclassid,,IP Configuration (Modifies DHCP Class ID),
72,ipconfig /showclassid,,IP Configuration (Display DHCP Class ID),
73,javaws,,Java Control Panel (If Installed),
74,joy.cpl,,Game Controllers,
75,jpicpl32.cpl,,Java Control Panel (If Installed),
76,logoff,,Logs You Out Of Windows,
77,lusrmgr.msc,,Local Users and Groups,
78,magnify,,Windows Magnifier,
79,main.cpl,,Mouse Properties,
80,migwiz,,Files and Settings Transfer Tool,
81,mmsys.cpl,,Sounds and Audio,
82,mobsync,,Microsoft Syncronization Tool,
83,moviemk,,Microsoft Movie Maker,
84,mrt,,Malicious Software Removal Tool,
85,msconfig,,System Configuration Utility,
86,mshearts,,Hearts Card Game,
87,msimn,,Outlook Express,
88,msinfo32,,System Information,
89,msmsgs,,Windows Messenger,
90,mspaint,,Microsoft Paint,
91,mstsc,,Remote Desktop,
92,ncpa.cpl,,Network Connections,
93,nero,,Nero (if installed),
94,netsetup.cpl,,Network Setup Wizard,
95,notepad,,Notepad,
96,ntbackup,,Windows Backup Utility (if installed),
97,ntmsmgr.msc,,Removable Storage,
98,ntmsoprq.msc,,Removable Storage Operator Requests,
99,nusrmgr.cpl,,User Account Management,
100,nvtuicpl.cpl,,Nview Desktop Manager (If Installed),
101,odbccp32.cpl,,ODBC Data Source Administrator,
102,osk,,On Screen Keyboard,
103,packager,,Object Packager,
104,password.cpl,,Password Properties,
105,pbrush,,Paint,
106,perfmon,,Performance Monitor,
107,perfmon.msc,,Performance Monitor,
108,photoshop,,Adobe Photoshop (if installed),
109,pinball,,Pinball Game,
110,powercfg.cpl,,Power Configuration,
111,powerpnt,,Microsoft Powerpoint (if installed),
112,printers,,Printers Folder,
113,QuickTime.cpl,,Quicktime (If Installed),
114,quicktimeplayer,,Quicktime Player (if installed),
115,rasphone,,Remote Access Phonebook,
116,realplay,,Real Player (if installed),
117,regedit,,Registry Editor,
118,regedit32,,Registry Editor,
119,rsop.msc,,Resultant Set of Policy (XP Prof),
120,secpol.msc,,Local Security Settings,
121,services.msc,,Services,
122,sfc /cachesize=x,,System File Checker Utility (Set Cache Size to size x),
123,sfc /purgecache,,System File Checker Utility (Purge File Cache),
124,sfc /revert,,System File Checker Utility (Return to Default Setting),
125,sfc /scanboot,,System File Checker Utility (Scan On Every Boot),
126,sfc /scannow,,System File Checker Utility (Scan Immediately),
127,sfc /scanonce,,System File Checker Utility (Scan Once At Next Boot),
128,shutdown,,Shuts Down Windows,
129,sigverif,,File Signature Verification Tool,
130,spider,,Spider Solitare Card Game,
131,sticpl.cpl,,Scanners and Cameras,
132,sysdm.cpl,,System Properties,
133,sysedit,,System Configuration Editor,
134,syskey,,Windows System Security Tool,
135,taskmgr,,Task Manager,
136,tcptest,,TCP Tester,
137,telephon.cpl,,Phone and Modem Options,
138,telnet,,Telnet Client,
139,timedate.cpl,,Date and Time Properties,
140,tourstart,,Windows XP Tour Wizard,
141,tweakui,,Tweak UI (if installed),
142,utilman,,Utility Manager,
143,verifier,,Driver Verifier Utility,
144,wab,,Windows Address Book,
145,wabmig,,Windows Address Book Import Utility,
146,wiaacmgr,,Windows Picture Import Wizard (need camera connected),
147,winchat,,Microsoft Chat,
148,winmine,,Minesweeper Game,
149,winver,,Windows Version (to show which version of windows),
150,winword,,Microsoft Word (if installed),
151,wmimgmt.msc,,Windows Management Infrastructure,
152,wmplayer,,Windows Media Player,
153,write,,Wordpad,
154,wscui.cpl,,Security Center,
155,wuaucpl.cpl,,Automatic Updates,
156,wupdmgr,,Windows Update Launches,
157,%SystemRoot%\system32\imageres.dll,,ikony,
158,%SystemRoot%\system32\shell32.dll,,ikony,
159,%SystemRoot%\system32\DDORes.dll,,ikony,
160,%SystemRoot%\System32\moricons.dll,,ikony,
161,%SystemRoot%\Cursors,,kurzory,
162,SysWOW64,,,
