ID,area,name_cz,uroven,valid,src_cz,identifikator,n74_dta,enc_name,name_en,src_en,desc_en,name_en_
1,526,Červený Trpaslík,,0,http://restaurace-trpaslik.webnode.cz/poledni-menu/,id:content,HTML,trp,,,,
2,526,Stará kotelna,,0,http://www.starakotelna.cz/denni-menu,id:day_menu,HTML,kot,,,,
3,526,Nad Ledem,,0,http://www.lunchtime.cz/nadledem?pw,id:daily-menu-container,HTML,led,,,,
4,526,U Žirafy,,0,https://www.uzirafy.cz/#denni-menu,class:pdfemb-inner-div,HTML,zrf,,,,
5,526,Skanska,,0,http://www.abc-stravovani.cz/component/stravmenu/?view=week&place=9,id:stravmenu-pane,HTML,sca,,,,
6,526,U Marianského obrazu,,0,http://www.umarianskehoobrazu.cz/poledni-menu.html,id:article,HTML,mob,,,,
7,526,Malešická tvrz,,1,https://www.malesickatvrz.cz/denni-menu,id:content,HTML,tvr,,,,
8,526,Zátiší,,1,https://restaurantcafe.cz/restaurant-cafe-zatisi/denni-menu-zatisi/,class:wpb_content_element,HTML,zat,,,,
9,526,Blanice,,0,,,HTML,bla,,,,
10,526,U Kovárny,,0,http://www.ukovarny.cz/denni-menu-restaurace-zlin.php,id:menicka,HTML,kov,,,,
11,526,Pe-Pe,,1,https://www.jidelnapepe.cz,class:boxx jidelak,HTML,pep,,,,
12,526,U Banshethů,,0,https://www.ubansethu.cz/en/poledni-nabidka/,class:b-c,HTML,ban,,,,
13,526,El Burger Pub,,0,http://www.elburgerpub.cz/denni-menu/,class:lunch_box clearfix,HTML,elb,,,,
14,526,Forte Picerka,,0,http://www.picerka.cz/ceska-pizza/#menu2,,HTML,for,,,,
15,526,Na Rychtě,,1,http://www.narychte.eu/dmenu.php,id:content,HTML,rch,,,,
16,526,Na Sádce,,0,http://nasadce.com/#polednimenu,class:wpb_wrapper,HTML,sad,,,,
17,526,Stará promiň,,1,http://starapromin.cz/?page_id=1128,class:ead-document,HTML,stp,,,,
18,526,U Mazané Kačeny,,0,http://kunratice.mazanakacena.cz/,class:content2,HTML,kac,,,,
20,526,,,0,,,HTML,,,,,
21,526,Branická Tankovna,,0,http://www.branickatankovna.com/polednimenu.html,id:.main-body,HTML,brt,,,,
